"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;razem;2015;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2019;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2021;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2022;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2023;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2024;[zł]";
0000000;"POLSKA";88347042956,38;91003803672,80;96388859815,85;104941586420,25;113544905030,51;121692784031,95;132173484969,35;145798897198,17;146102186261,10;176664562670,80;
0200000;"DOLNOŚLĄSKIE";7681415687,93;7924310465,76;8386355154,70;9041734666,76;9689025782,82;10309804184,24;11644863838,87;12538241085,84;13043852783,86;15561011450,65;
0201000;"Powiat bolesławiecki";191323424,86;201534685,24;217283176,33;230357637,26;254200598,95;261796553,77;275161031,29;331889485,32;355422714,78;380800926,08;
0201011;"Bolesławiec (1)";97766455,51;96585948,26;100354872,86;100026530,65;110798547,62;113856301,52;133457641,30;145583831,36;164088290,92;180180717,13;
0201022;"Bolesławiec (2)";31072239,80;29138151,04;36830913,88;34848358,56;38715326,98;42888896,64;43545028,36;46836299,38;50745997,68;57367499,51;
0201032;"Gromadka (2)";10899408,78;13139743,96;14541539,51;27057940,92;25721571,91;27544426,64;24471227,00;46458862,04;28502741,70;34390530,97;
0201043;"Nowogrodziec (3)";18569147,18;29417467,57;31883450,73;31788855,91;39134198,61;33419083,79;35020047,74;41675542,41;57594347,55;51874959,01;
0201052;"Osiecznica (2)";16746467,73;17098022,83;17601816,26;19841729,92;21776258,65;24843042,47;18467248,93;27794127,04;29784844,16;31446315,34;
0201062;"Warta Bolesławiecka (2)";16269705,86;16155351,58;16070583,09;16794221,30;18054695,18;19244802,71;20199837,96;23540823,09;24706492,77;25540904,12;
0202000;"Powiat dzierżoniowski";163702336,18;170904517,46;175851282,54;192413912,62;219563121,41;235770838,86;228700625,73;260855698,75;266476392,80;334648661,83;
0202011;"Bielawa (1)";54275286,40;58726765,35;60796684,64;61443342,60;70138044,84;67916257,23;67464139,68;74830195,73;74231465,85;90210049,71;
0202021;"Dzierżoniów (1)";54941541,12;61744190,73;61774957,23;71171888,00;81664887,31;79686672,41;81355985,03;92943805,10;108151308,09;123814687,25;
0202031;"Pieszyce (1)";14010178,59;;;;;;;;;;
0202033;"Pieszyce (3)";;12676399,25;12756986,62;14856504,24;16636494,20;16575176,13;16823133,62;20398683,86;18686092,74;37702103,75;
0202041;"Piława Górna (1)";8790657,70;9197868,28;9153569,08;9976844,42;11221924,55;15968081,14;11814086,14;14525666,69;12620486,32;15209808,08;
0202052;"Dzierżoniów (2)";14131794,58;12177775,69;13927658,84;15905456,23;16220712,22;19776268,15;19547940,54;23923701,40;21931761,27;29450162,12;
0202062;"Łagiewniki (2)";10269370,55;9415076,27;9696439,76;11367544,73;12636384,32;20711591,63;18892344,99;19290192,60;18109440,71;22174658,23;
0202073;"Niemcza (3)";7283507,24;6966441,89;7744986,37;7692332,40;11044673,97;15136792,17;12802995,73;14943453,37;12745837,82;16087192,69;
0203000;"Powiat głogowski";248105364,04;250177177,48;265011415,67;290715198,63;303199219,93;338745333,43;354496395,74;388092964,39;433735233,71;435029369,15;
0203011;"Głogów (1)";181673373,93;184604508,49;192843592,79;209547734,35;220202473,52;234749248,45;254588405,91;270357212,17;318854428,93;300923860,38;
0203022;"Głogów (2)";16000178,54;16959491,37;18499752,75;21064506,96;22045446,05;22477371,22;23123395,92;24492784,04;23353049,64;27040125,32;
0203032;"Jerzmanowa (2)";30037009,99;29008049,99;32366375,36;36444736,85;37591134,35;44915504,21;45498720,17;47764873,27;48553246,88;59446443,75;
0203042;"Kotla (2)";8929795,41;8220204,11;8324449,16;8775655,43;9329098,78;15282435,95;12505926,56;16776875,22;17057317,50;18733521,86;
0203052;"Pęcław (2)";3625338,26;2701181,62;4214441,32;3041925,34;3641754,10;4519383,48;3807393,15;6908741,27;4516677,54;5567474,52;
0203062;"Żukowice (2)";7839667,91;8683741,90;8762804,29;11840639,70;10389313,13;16801390,12;14972554,03;21792478,42;21400513,22;23317943,32;
0204000;"Powiat górowski";52356904,60;53815300,30;57579563,07;60748285,07;67077455,44;74389569,26;77512232,86;90594281,67;84198916,71;94329227,39;
0204013;"Góra (3)";30860275,90;32555952,66;34743227,48;36343200,03;41203198,29;43795233,75;46207255,75;48284960,44;49453818,46;56918925,64;
0204022;"Jemielno (2)";3910672,05;3568442,07;3797134,38;3857764,16;5386402,14;5792514,73;4581358,72;7838977,86;5062412,85;6534336,87;
0204032;"Niechlów (2)";6946781,74;7009839,71;7513087,35;7681848,45;7653772,98;9881556,67;8801442,52;12198883,38;9169081,00;10339822,78;
0204043;"Wąsosz (3)";10639174,91;10681065,86;11526113,86;12865472,43;12834082,03;14920264,11;17922175,87;22271459,99;20513604,40;20536142,10;
0205000;"Powiat jaworski";89319308,68;90007193,76;97488706,17;100743161,84;106241336,28;144507954,34;138773668,17;163516179,86;177045182,09;198818242,13;
0205011;"Jawor (1)";46821528,87;47707547,23;50340786,75;49966760,05;49149261,26;64163194,85;67285368,44;72345136,70;89834833,85;102900119,58;
0205023;"Bolków (3)";11944458,99;12071679,46;13256370,14;14130127,60;15473406,99;26250564,54;23538505,11;27948607,48;29122725,85;31235037,10;
0205032;"Męcinka (2)";9695066,00;8841202,81;10951319,29;12634930,83;14372334,92;20146295,66;19735064,14;20991149,10;19633363,27;20753235,95;
0205042;"Mściwojów (2)";8530585,42;7302933,00;8414406,91;7571357,52;8212910,54;11497947,97;8431505,11;14392685,93;13029721,95;13959152,32;
0205052;"Paszowice (2)";6694597,42;6923438,23;6739804,94;7535001,09;9269665,78;11700645,36;8082708,57;13286012,31;11753982,89;13172875,79;
0205062;"Wądroże Wielkie (2)";5633071,98;7160393,03;7786018,14;8904984,75;9763756,79;10749305,96;11700516,80;14552588,34;13670554,28;16797821,39;
0206000;"Powiat karkonoski";147534513,90;152394740,52;160294186,18;176462777,28;185085696,72;197399810,81;231027448,23;260878439,59;254479489,14;307927695,41;
0206011;"Karpacz (1)";25423661,73;25473284,89;26466862,76;30340813,95;30802431,79;28318587,30;34564606,56;41589071,83;42322075,85;51160166,25;
0206021;"Kowary (1)";16138066,04;21015053,01;19057069,52;19857636,06;20847650,57;22755724,99;30216311,31;28955541,49;28710456,51;33591474,54;
0206031;"Piechowice (1)";14231742,51;14932637,07;15746168,52;17260083,00;17391057,15;19512569,74;21947387,90;23631810,93;25963072,05;27444363,77;
0206041;"Szklarska Poręba (1)";25952938,06;26356446,99;30492668,57;32866058,83;33246468,17;32337749,37;41782587,27;48232536,44;44040123,42;54909606,08;
0206052;"Janowice Wielkie (2)";6846366,45;6531200,35;7259267,65;7978131,13;9124914,34;10369907,99;9614315,23;13701069,67;10449369,84;12980179,12;
0206062;"Jeżów Sudecki (2)";13883116,41;13575793,12;14465179,32;15807892,94;18279527,03;20735950,99;23436608,29;26628224,94;23514130,28;33353338,22;
0206072;"Mysłakowice (2)";19413310,86;20220314,80;19896390,66;20678003,72;23009737,79;25210593,75;26769004,42;29946805,28;30528562,28;36225361,71;
0206082;"Podgórzyn (2)";14636884,37;15431407,61;17139587,89;20740128,99;20852342,76;24969684,86;28528753,70;30803153,24;29585152,91;36273626,12;
