"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2015;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2019;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2021;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2022;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2023;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2024;[zł]";
0000000;"POLSKA";26420644694,45;18361878547,50;25473300823,85;39474631016,06;37089004573,14;34774071757,61;35677904813,96;45237572194,93;65433481577,43;60254138722,47;
0200000;"DOLNOŚLĄSKIE";2092537796,06;1564870017,43;2107745343,06;3560104476,23;2667484211,80;2449523854,70;2871518216,26;3862790541,69;5374209593,54;4707715294,52;
0201000;"Powiat bolesławiecki";50651102,96;36786701,97;65967202,61;126275971,67;68775484,30;35885841,07;66913053,36;79065713,49;154505081,95;178277580,39;
0201011;"Bolesławiec (1)";22294164,58;11364485,50;21039778,87;44833090,98;10950224,96;5393080,53;30276796,26;26649029,60;76135395,19;91720509,14;
0201022;"Bolesławiec (2)";10639825,77;8799550,08;17921677,70;14238430,77;22652106,57;13330017,21;10627077,55;8538953,01;14703715,52;15036041,41;
0201032;"Gromadka (2)";3677982,87;5432200,26;5872656,16;21525035,77;7482636,43;6191788,77;15767619,16;17986464,35;14415737,22;26446287,38;
0201043;"Nowogrodziec (3)";8631426,70;4279106,12;9539624,90;25730563,45;14882269,26;5618699,97;4210440,72;13940679,55;16965396,24;10069404,81;
0201052;"Osiecznica (2)";2139906,70;4479122,43;6134216,88;12568689,15;9095071,85;2097465,06;2857807,90;4461491,61;22220522,91;18907431,48;
0201062;"Warta Bolesławiecka (2)";3267796,34;2432237,58;5459248,10;7380161,55;3713175,23;3254789,53;3173311,77;7489095,37;10064314,87;16097906,17;
0202000;"Powiat dzierżoniowski";52647240,90;36964778,15;42941459,05;98804787,40;67997041,53;58828007,39;63418667,99;116565795,82;173654620,20;152658003,58;
0202011;"Bielawa (1)";19472152,03;10553873,72;8622096,46;27038433,46;16078962,19;21505077,85;14988858,40;40072544,60;52157857,57;44859180,41;
0202021;"Dzierżoniów (1)";13333791,51;15974166,56;18613417,26;34954798,24;25151354,51;18430116,83;18110332,29;29868497,82;48960831,28;39409053,76;
0202031;"Pieszyce (1)";4190819,86;;;;;;;;;;
0202033;"Pieszyce (3)";;2417501,29;3815866,16;13841719,57;5500574,57;4504575,31;6777471,55;12182380,63;11201697,73;21427123,53;
0202041;"Piława Górna (1)";3345324,79;1822874,19;3448263,38;5874750,83;6695462,87;1904068,50;7537151,87;7138523,78;9720313,61;5823630,58;
0202052;"Dzierżoniów (2)";8158297,35;3645637,50;3265552,21;11321661,20;9027018,07;4911695,20;7221959,60;5297616,28;18466030,28;10304567,21;
0202062;"Łagiewniki (2)";2582841,51;1233813,60;3760162,11;2083832,11;1575242,74;3224998,47;3686794,80;13236135,28;17927475,05;13728598,71;
0202073;"Niemcza (3)";1564013,85;1316911,29;1416101,47;3689591,99;3968426,58;4347475,23;5096099,48;8770097,43;15220414,68;17105849,38;
0203000;"Powiat głogowski";49188653,52;59249584,93;74238022,57;103799982,84;119582461,41;75626068,76;72514441,34;106395755,52;176682760,14;151558097,46;
0203011;"Głogów (1)";26742428,18;41468628,90;48210903,93;59260004,68;88805350,00;42033790,67;46232375,52;48991873,41;84343115,37;92431635,99;
0203022;"Głogów (2)";2907454,35;2404845,76;4321193,57;10375154,47;6820107,21;7527217,47;10204522,02;12799071,67;21705761,82;10021568,77;
0203032;"Jerzmanowa (2)";9138753,66;9654266,62;12232925,76;19957259,50;16161549,93;20440438,05;7170557,35;16839223,07;18288893,80;12591501,99;
0203042;"Kotla (2)";3701384,54;1951741,88;5210956,37;7004690,58;2374439,94;1703297,34;2193301,88;9151820,84;12822816,05;18501621,09;
0203052;"Pęcław (2)";4722911,29;99831,00;529467,73;733895,54;381256,55;1037293,24;372573,92;6100652,55;11235476,21;7294160,83;
0203062;"Żukowice (2)";1975721,50;3670270,77;3732575,21;6468978,07;5039757,78;2884031,99;6341110,65;12513113,98;28286696,89;10717608,79;
0204000;"Powiat górowski";17813191,50;15450053,04;20372567,17;34766085,83;17552957,05;21748886,79;27668715,41;46732028,38;45494191,89;40340312,46;
0204013;"Góra (3)";9876432,04;10356465,23;15301391,57;22598939,32;11029561,75;12721276,39;12375863,67;22500604,47;22024262,09;13158288,52;
0204022;"Jemielno (2)";446612,57;404575,41;1029103,38;1325461,13;1459890,32;1385783,11;2022992,46;1061719,57;4481704,87;4620342,43;
0204032;"Niechlów (2)";1251806,26;1208091,53;1781376,42;3064306,33;4011295,57;3303062,65;4210101,68;4931156,52;6395991,25;17486937,78;
0204043;"Wąsosz (3)";6238340,63;3480920,87;2260695,80;7777379,05;1052209,41;4338764,64;9059757,60;18238547,82;12592233,68;5074743,73;
0205000;"Powiat jaworski";25977991,00;13737845,57;34087424,40;70582583,03;47545921,53;57398704,81;44716493,71;68390557,04;114944270,18;100746592,44;
0205011;"Jawor (1)";5609664,49;3323685,11;11748887,24;25996681,32;17560313,68;43093006,78;24327943,93;32350753,64;42892130,93;39510404,17;
0205023;"Bolków (3)";2072402,27;1809026,47;4806282,55;17845370,40;16970829,10;1893252,36;5452574,33;4487273,27;12046198,04;10744997,53;
0205032;"Męcinka (2)";2644675,94;1165298,91;5114132,44;9645417,12;5254320,29;2302723,60;5531146,61;15968497,64;19481866,22;22239203,43;
