"Kod";"Nazwa";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2015;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2016;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2017;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2018;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2019;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2020;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2021;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2022;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2023;[osoba]";"ogółem;miejsce zamieszkania;stan na 31 grudnia;ogółem;2024;[osoba]";
0000000;"POLSKA";38437239;38432992;38433558;38411148;38382576;38088564;37907704;37766327;37636508;37489087;
0200000;"DOLNOŚLĄSKIE";2904207;2903710;2902547;2901225;2900163;2908378;2897737;2888033;2879271;2868242;
0201000;"Powiat bolesławiecki";90199;90180;90173;90200;90103;88524;88275;87922;87642;87255;
0201011;"Bolesławiec (1)";39373;39167;39084;38935;38872;37659;37522;37293;37055;36795;
0201022;"Bolesławiec (2)";14104;14210;14391;14626;14699;14967;15119;15176;15267;15359;
0201032;"Gromadka (2)";5438;5417;5345;5367;5337;5156;5094;5059;5003;4978;
0201043;"Nowogrodziec (3)";15281;15311;15290;15258;15214;14852;14747;14680;14622;14523;
0201044;"Nowogrodziec - miasto (4)";4259;4237;4244;4235;4207;4167;4120;4122;4102;4050;
0201045;"Nowogrodziec - obszar wiejski (5)";11022;11074;11046;11023;11007;10685;10627;10558;10520;10473;
0201052;"Osiecznica (2)";7490;7482;7398;7371;7349;7358;7329;7307;7284;7198;
0201062;"Warta Bolesławiecka (2)";8513;8593;8665;8643;8632;8532;8464;8407;8411;8402;
0202000;"Powiat dzierżoniowski";103349;102649;102077;101437;100813;97985;96884;95863;94740;93863;
0202011;"Bielawa (1)";30652;30357;30207;30055;29872;28973;28688;28344;28027;27713;
0202021;"Dzierżoniów (1)";33946;33785;33653;33344;33137;31997;31478;31061;30614;30312;
0202031;"Pieszyce (1)";9628;;;;;;;;;;
0202033;"Pieszyce (3)";;9633;9550;9492;9410;9107;9012;8979;8904;8876;
0202034;"Pieszyce - miasto (4)";;7230;7170;7136;7095;6959;6876;6827;6765;6750;
0202035;"Pieszyce - obszar wiejski (5)";;2403;2380;2356;2315;2148;2136;2152;2139;2126;
0202041;"Piława Górna (1)";6633;6569;6479;6457;6394;6129;6059;5969;5904;5847;
0202052;"Dzierżoniów (2)";9250;9199;9185;9138;9092;9243;9215;9194;9152;9109;
0202062;"Łagiewniki (2)";7541;7495;7458;7449;7438;7287;7254;7192;7118;7033;
0202073;"Niemcza (3)";5699;5611;5545;5502;5470;5249;5178;5124;5021;4973;
0202074;"Niemcza - miasto (4)";3062;3017;2981;2974;2963;2820;2752;2723;2683;2650;
0202075;"Niemcza - obszar wiejski (5)";2637;2594;2564;2528;2507;2429;2426;2401;2338;2323;
0203000;"Powiat głogowski";90205;89989;89933;89541;89102;86797;86376;85689;85043;84387;
0203011;"Głogów (1)";68666;68292;68179;67615;66980;64450;63730;62886;62049;61206;
0203022;"Głogów (2)";6538;6602;6663;6734;6791;6933;7063;7110;7207;7260;
0203032;"Jerzmanowa (2)";4743;4868;4925;5042;5156;5439;5669;5743;5879;5983;
0203042;"Kotla (2)";4461;4430;4415;4430;4455;4401;4359;4389;4411;4414;
0203052;"Pęcław (2)";2281;2299;2284;2274;2259;2136;2119;2113;2102;2126;
0203062;"Żukowice (2)";3516;3498;3467;3446;3461;3438;3436;3448;3395;3398;
0204000;"Powiat górowski";35940;35715;35473;35182;34870;33376;33027;32738;32459;32054;
0204013;"Góra (3)";20426;20306;20177;20037;19878;19005;18797;18619;18458;18294;
0204014;"Góra - miasto (4)";12217;12084;11994;11859;11678;11217;11036;10877;10700;10623;
0204015;"Góra - obszar wiejski (5)";8209;8222;8183;8178;8200;7788;7761;7742;7758;7671;
