kod;nazwa;dochody_2015;dochody_2016;dochody_2017;dochody_2018;dochody_2019;dochody_2020;dochody_2021;dochody_2022;dochody_2023;dochody_2024;wydatki_2015;wydatki_2016;wydatki_2017;wydatki_2018;wydatki_2019;wydatki_2020;wydatki_2021;wydatki_2022;wydatki_2023;wydatki_2024;ludnosc_2015;ludnosc_2016;ludnosc_2017;ludnosc_2018;ludnosc_2019;ludnosc_2020;ludnosc_2021;ludnosc_2022;ludnosc_2023;ludnosc_2024;typ;dochody_pc_2015;wydatki_pc_2015;dochody_pc_2016;wydatki_pc_2016;dochody_pc_2017;wydatki_pc_2017;dochody_pc_2018;wydatki_pc_2018;dochody_pc_2019;wydatki_pc_2019;dochody_pc_2020;wydatki_pc_2020;dochody_pc_2021;wydatki_pc_2021;dochody_pc_2022;wydatki_pc_2022;dochody_pc_srednia;wydatki_pc_srednia
0201011;Bolesławiec (1);97766455.51;96585948.26;100354872.86;100026530.65;110798547.62;113856301.52;133457641.3;145583831.36;164088290.92;180180717.13;22294164.58;11364485.5;21039778.87;44833090.98;10950224.96;5393080.53;30276796.26;26649029.6;76135395.19;91720509.14;39373.0;39167.0;39084.0;38935.0;38872.0;37659.0;37522.0;37293.0;37055.0;36795.0;miejska;2483.0837251415946;566.2297660833566;2466.0032236321395;290.1546071948324;2567.671498823048;538.3220466175418;2569.0646115320405;1151.4855780146397;2850.343373636551;281.69955134801404;3023.3490406011842;143.20827770254124;3556.783788177602;806.9078476627046;3903.7843927814874;714.5853001903843;2927.510456790706;561.5741218517519
0201022;Bolesławiec (2);31072239.8;29138151.04;36830913.88;34848358.56;38715326.98;42888896.64;43545028.36;46836299.38;50745997.68;57367499.51;10639825.77;8799550.08;17921677.7;14238430.77;22652106.57;13330017.21;10627077.55;8538953.01;14703715.52;15036041.41;14104.0;14210.0;14391.0;14626.0;14699.0;14967.0;15119.0;15176.0;15267.0;15359.0;wiejska;2203.0799631310265;754.3835628190584;2050.5384264602394;619.250533427164;2559.301916475575;1245.3392884441664;2382.630832763572;973.5013517024477;2633.8748880876246;1541.064464929587;2865.5640168370414;890.6271938264182;2880.1526794100137;702.8955321119122;3086.2084462308912;562.6616374538745;2582.6688961744976;911.2154455893285
0201032;Gromadka (2);10899408.78;13139743.96;14541539.51;27057940.92;25721571.91;27544426.64;24471227.0;46458862.04;28502741.7;34390530.97;3677982.87;5432200.26;5872656.16;21525035.77;7482636.43;6191788.77;15767619.16;17986464.35;14415737.22;26446287.38;5438.0;5417.0;5345.0;5367.0;5337.0;5156.0;5094.0;5059.0;5003.0;4978.0;wiejska;2004.304667157043;676.3484497977198;2425.6496141775892;1002.8060291674358;2720.587373246024;1098.7195809167447;5041.5392062604815;4010.627123160052;4819.481339703953;1402.030434701143;5342.208425135765;1200.889986423584;4803.931488025128;3095.3315979583826;9183.408191342161;3555.3398596560587;4542.638788131018;2005.2616327226401
0201043;Nowogrodziec (3);18569147.18;29417467.57;31883450.73;31788855.91;39134198.61;33419083.79;35020047.74;41675542.41;57594347.55;51874959.01;8631426.7;4279106.12;9539624.9;25730563.45;14882269.26;5618699.97;4210440.72;13940679.55;16965396.24;10069404.81;15281.0;15311.0;15290.0;15258.0;15214.0;14852.0;14747.0;14680.0;14622.0;14523.0;miejsko-wiejska;1215.1787958903212;564.8469799096918;1921.3289510809223;279.4792057997518;2085.2485761935905;623.9126814911707;2083.422198846507;1686.365411587364;2572.2491527540424;978.1956921256738;2250.140303662806;378.3126831403178;2374.72351935987;285.51167830745237;2838.933406675749;949.6375715258856;2167.653113057976;718.2827379859134
0201052;Osiecznica (2);16746467.73;17098022.83;17601816.26;19841729.92;21776258.65;24843042.47;18467248.93;27794127.04;29784844.16;31446315.34;2139906.7;4479122.43;6134216.88;12568689.15;9095071.85;2097465.06;2857807.9;4461491.61;22220522.91;18907431.48;7490.0;7482.0;7398.0;7371.0;7349.0;7358.0;7329.0;7307.0;7284.0;7198.0;wiejska;2235.8434886515356;285.70182910547396;2285.2209075113606;598.6530914194066;2379.2668640173024;829.1723276561232;2691.864051010718;1705.1538665038665;2963.159429854402;1237.5931215131309;3376.3308602881216;285.05912748029357;2519.7501610042295;389.9314913357893;3803.7672149993155;610.5777487340906;2781.9003721671234;742.7303254685219
0201062;Warta Bolesławiecka (2);16269705.86;16155351.58;16070583.09;16794221.3;18054695.18;19244802.71;20199837.96;23540823.09;24706492.77;25540904.12;3267796.34;2432237.58;5459248.1;7380161.55;3713175.23;3254789.53;3173311.77;7489095.37;10064314.87;16097906.17;8513.0;8593.0;8665.0;8643.0;8632.0;8532.0;8464.0;8407.0;8411.0;8402.0;wiejska;1911.160091624574;383.85954892517327;1880.0595345048296;283.0487117421157;1854.6547132140797;630.0344027697633;1943.1009256045356;853.8888753904894;2091.6004610750697;430.1639515755329;2255.6027555086735;381.4802543366151;2386.5593052930058;374.9186873818526;2800.1454847151185;890.8166254311883;2140.360408942486;528.5263821940913
0202011;Bielawa (1);54275286.4;58726765.35;60796684.64;61443342.6;70138044.84;67916257.23;67464139.68;74830195.73;74231465.85;90210049.71;19472152.03;10553873.72;8622096.46;27038433.46;16078962.19;21505077.85;14988858.4;40072544.6;52157857.57;44859180.41;30652.0;30357.0;30207.0;30055.0;29872.0;28973.0;28688.0;28344.0;28027.0;27713.0;miejska;1770.6931488972987;635.2653017747618;1934.5378446486807;347.65865269954213;2012.6687403581952;285.4337226470686;2044.363420395941;899.6317903842955;2347.9527597750402;538.2619908275308;2344.122363234736;742.2454647430367;2351.6501561628556;522.4783324037926;2640.0718222551513;1413.792852102738;2180.7575319659873;673.0960134478457
0202021;Dzierżoniów (1);54941541.12;61744190.73;61774957.23;71171888.0;81664887.31;79686672.41;81355985.03;92943805.1;108151308.09;123814687.25;13333791.51;15974166.56;18613417.26;34954798.24;25151354.51;18430116.83;18110332.29;29868497.82;48960831.28;39409053.76;33946.0;33785.0;33653.0;33344.0;33137.0;31997.0;31478.0;31061.0;30614.0;30312.0;miejska;1618.4982360219171;392.7941881223119;1827.5622533668786;472.81830871688624;1835.644882477045;553.0983050545271;2134.4736084452975;1048.3084884836853;2464.462302260313;759.0112113347618;2490.4419917492264;575.9951504828578;2584.534755384713;575.3330036851133;2992.2991886932164;961.6077338141077;2243.489652299826;667.3707987117814
0202031;Pieszyce (1);14010178.59;;;;;;;;;;4190819.86;;;;;;;;;;9628.0;;;;;;;;;;miejska;1455.1494173244703;435.2741857083506;;;;;;;;;;;;;;;1455.1494173244703;435.2741857083506
0202033;Pieszyce (3);;12676399.25;12756986.62;14856504.24;16636494.2;16575176.13;16823133.62;20398683.86;18686092.74;37702103.75;;2417501.29;3815866.16;13841719.57;5500574.57;4504575.31;6777471.55;12182380.63;11201697.73;21427123.53;;9633.0;9550.0;9492.0;9410.0;9107.0;9012.0;8979.0;8904.0;8876.0;miejsko-wiejska;;;1315.9347295754178;250.96037475345167;1335.8101172774868;399.5671371727749;1565.1605815423516;1458.2511135693217;1767.9590010626991;584.5456503719448;1820.0478895355222;494.6277929065553;1866.7480714602752;752.0496615623613;2271.821345361399;1356.7636295801315;1706.2116765450216;756.6807657023629
